,author,quotes
0,Abraham Lincoln Quotes,Most folks are about as happy as they make their minds up to be.
1,Abraham Lincoln Quotes,No man has a good enough memory to be a successful liar.
2,Abraham Lincoln Quotes,"Human action can be modified to some extent, but human nature cannot be changed."
3,Abraham Lincoln Quotes,Love is the chain to lock a child to its parent.
4,Abraham Lincoln Quotes,There are no bad pictures; that’s just how your face looks sometimes.
5,Abraham Lincoln Quotes,You can tell the greatness of a man by what makes him angry.
6,Abraham Lincoln Quotes,Common looking people are the best in the world: that is the reason the Lord makes so many of them.
7,Abraham Lincoln Quotes,"He has a right to criticize, who has a heart to help."
8,Abraham Lincoln Quotes,Tact: the ability to describe others as they see themselves.
9,Abraham Lincoln Quotes,A farce or comedy is best played; a tragedy is best read at home.
10,Abraham Lincoln Quotes,"Upon the subject of education, not presuming to dictate any plan or system respecting it, I can only say that I view it as the most important subject which we as a people can be engaged in."
11,Abraham Lincoln Quotes,For people who like that kind of a book that is the kind of book they will like.
12,Abraham Lincoln Quotes,"I am rather inclined to silence, and whether that be wise or not, it is at least more unusual nowadays to find a man who can hold his tongue than to find one who cannot."
13,Abraham Lincoln Quotes,"You can fool some of the people all of the time, and all of the people some of the time, but you can not fool all of the people all of the time."
14,Abraham Lincoln Quotes,I don’t like that man. I must get to know him better.
15,Abraham Lincoln Quotes,"When you reach the end of your rope, tie a knot and hang on."
16,Abraham Lincoln Quotes,"Adhere to your purpose and you will soon feel as well as you ever did. On the contrary, if you falter, and give up, you will lose the power of keeping any resolution, and will regret it all your life."
17,Abraham Lincoln Quotes,"And in the end it is not the years in your life that count, it’s the life in your years."
18,Abraham Lincoln Quotes,You cannot escape the responsibility of tomorrow by evading it today.
19,Abraham Lincoln Quotes,Better to remain silent and be thought a fool than to speak out and remove all doubt.
20,Abraham Lincoln Quotes,Leave nothing for tomorrow which can be done today.
21,Abraham Lincoln Quotes,"We can complain because rose bushes have thorns, or rejoice because thorn bushes have roses."
22,Abraham Lincoln Quotes,Every man’s happiness is his own responsibility.
23,Abraham Lincoln Quotes,"If I am killed, I can die but once; but to live in constant dread of it, is to die over and over again."
24,Abraham Lincoln Quotes,"Nearly all men can stand adversity, but if you want to test a man’s character, give him power."
25,Abraham Lincoln Quotes,"I would rather be a little nobody, then to be an evil somebody."
26,Abraham Lincoln Quotes,I have been driven many times upon my knees by the overwhelming conviction that I had nowhere else to go. My own wisdom and that of all about me seemed insufficient for that day.
27,Abraham Lincoln Quotes,Always bear in mind that your own resolution to success is more important than any other thing.
28,Abraham Lincoln Quotes,I’m a success today because I had a friend who believed in me and I didn’t have the heart to let him down.
29,Abraham Lincoln Quotes,I have a congenital aversion to failure.
30,Abraham Lincoln Quotes,I happen temporarily to occupy this big White House. I am living witness that any one of your children may look to come here as my father’s child has.
31,Abraham Lincoln Quotes,"I am not bound to win, but I am bound to be true. I am not bound to succeed, but I am bound to live by the light that I have. I must stand with anybody that stands right, and stand with him while he is right, and part with him when he goes wrong."
32,Abraham Lincoln Quotes,The greatest fine art of the future will be the making of a comfortable living from a small piece of land.
33,Abraham Lincoln Quotes,"Human nature will not change. In any future great national trial, compared with the men of this, we shall have as weak and as strong, as silly and as wise, as bad and as good."
34,Abraham Lincoln Quotes,The best way to predict your future is to create it.
35,Abraham Lincoln Quotes,"What is to be, will be, and no prayers of ours can arrest the decree."
36,Abraham Lincoln Quotes,"Let every American, every lover of liberty, every well wisher to his posterity, swear by the blood of the Revolution, never to violate in the least particular, the laws of the country; and never to tolerate their violation by others."
37,Abraham Lincoln Quotes,"I claim not to have controlled events, but confess plainly that events have controlled me."
38,Abraham Lincoln Quotes,"I know not how to aid you, save in the assurance of one of mature age, and much severe experience, that you can not fail, if you resolutely determine, that you will not."
39,Abraham Lincoln Quotes,"I have not permitted myself, gentlemen, to conclude that I am the best man in the country; but I am reminded, in this connection, of a story of an old Dutch farmer who remarked to a companion once that ‘it was not best to swap horses while crossing streams’."
40,Abraham Lincoln Quotes,"I have stepped out upon this platform that I may see you and that you may see me, and in the arrangement I have the best of the bargain."
41,Abraham Lincoln Quotes,The demon of intemperance ever seems to have delighted in sucking the blood of genius and of generosity.
42,Abraham Lincoln Quotes,"This is a world of compensations; and he who would be no slave, must consent to have no slave. Those who deny freedom to others, deserve it not for themselves; and, under a just God, can not long retain it."
43,Abraham Lincoln Quotes,"As I would not be a slave, so I would not be a master. This expresses my idea of democracy."
44,Abraham Lincoln Quotes,"In giving freedom to the slave, we assure freedom to the free — honorable alike in what we give, and what we preserve. We shall nobly save, or meanly lose, the last best hope of earth."
45,Abraham Lincoln Quotes,You think slavery is right and should be extended; while we think slavery is wrong and ought to be restricted. That I suppose is the rub. It certainly is the only substantial difference between us.
46,Abraham Lincoln Quotes,The one victory we can ever call complete will be that one which proclaims that there is not one slave or one drunkard on the face of God’s green earth.
47,Abraham Lincoln Quotes,"All I ask for the negro is that if you do not like him, let him alone. If God gave him but little, that little let him enjoy."
48,Abraham Lincoln Quotes,"I leave you, hoping that the lamp of liberty will burn in your bosoms until there shall no longer be a doubt that all men are created free and equal."
49,Abraham Lincoln Quotes,"No man is good enough to govern another man, without that other’s consent. I say this is the leading principle–the sheet anchor of American republicanism."
50,Abraham Lincoln Quotes,It may seem strange that any men should dare to ask a just God’s assistance in wringing their bread from the sweat of other men’s faces; but let us judge not that we be not judged. The prayers of both could not be answered; that of neither has been answered fully. The Almighty has His own purposes.
51,Abraham Lincoln Quotes,"Surely God would not have created such a being as man, with an ability to grasp the infinite, to exist only for a day! No, no, man was made for immortality."
52,Abraham Lincoln Quotes,"With malice toward none, with charity for all, with firmness in the right as God gives us to see the right, let us strive on to finish the work we are in; to bind up the nation’s wounds; to care for him who shall have borne the battle, and for his widow and his orphan – to do all which may achieve and cherish a just and lasting peace, among ourselves, and with all nations."
53,Abraham Lincoln Quotes,"I have never studied the art of paying compliments to women; but I must say that if all that has been said by orators and poets since the creation of the world in praise of women were applied to the women of America, it would not do them justice for their conduct during this war. I will close by saying, God bless the women of America!"
54,Abraham Lincoln Quotes,"In regard to this Great Book, I have but to say, it is the best gift God has given to man. All the good the Savior gave to the world was communicated through this book."
55,Abraham Lincoln Quotes,"The will of God prevails. In great contests each party claims to act in accordance with the will of God. Both may be, and one must be, wrong. God cannot be for and against the same thing at the same time. In the present civil war it is quite possible that God’s purpose is something different from the purpose of either party – and yet the human instrumentalities, working just as they do, are of the best adaptation to effect His purpose."
56,Abraham Lincoln Quotes,No man is poor who has a Godly mother.
57,Abraham Lincoln Quotes,I care not for a man’s religion whose dog and cat are not the better for it.
58,Abraham Lincoln Quotes,"Let us have faith that right makes might, and in that faith, let us, to the end, dare to do our duty as we understand it."
59,Abraham Lincoln Quotes,"The United States government must not undertake to run the Churches. When an individual, in the Church or out of it, becomes dangerous to the public interest he must be checked."
60,Abraham Lincoln Quotes,"Any people anywhere, being inclined and having the power, have the right to rise up, and shake off the existing government, and form a new one that suits them better. This is a most valuable – a most sacred right – a right, which we hope and believe, is to liberate the world."
61,Abraham Lincoln Quotes,A house divided against itself cannot stand. I believe this government cannot endure permanently half-slave and half-free. I do not expect the Union to be dissolved – I do not expect the house to fall – but I do expect it will cease to be divided. It will become all one thing or all the other.
62,Abraham Lincoln Quotes,"This country, with its institutions, belongs to the people who inhabit it. Whenever they shall grow weary of the existing government, they can exercise their constitutional right of amending it, or their revolutionary right to dismember it or overthrow it."
63,Abraham Lincoln Quotes,"I desire to so conduct the affairs of this administration that if at the end, when I come to lay down the reins of power, I have lost every other friend on earth, I shall at least have one friend left, and that friend shall be down inside of me."
64,Abraham Lincoln Quotes,"Public sentiment is everything. With public sentiment, nothing can fail; without it nothing can succeed."
65,Abraham Lincoln Quotes,The ballot is stronger than the bullet.
66,Abraham Lincoln Quotes,I cannot make it better known than it already is that I strongly favor colonization.
67,Abraham Lincoln Quotes,"Discourage litigation. Persuade your neighbors to compromise whenever you can. Point out to them how the nominal winner is often a real loser – in fees, expenses, and waste of time. As a peacemaker the lawyer has a superior opportunity of being a good man. There will still be business enough."
68,Abraham Lincoln Quotes,"What is conservatism? Is it not adherence to the old and tried, against the new and untried?"
69,Abraham Lincoln Quotes,"The love of property and consciousness of right and wrong have conflicting places in our organization, which often makes a man’s course seem crooked, his conduct a riddle."
70,Abraham Lincoln Quotes,"Elections belong to the people. It’s their decision. If they decide to turn their back on the fire and burn their behinds, then they will just have to sit on their blisters."
71,Abraham Lincoln Quotes,"When I do good, I feel good. When I do bad, I feel bad. That’s my religion."
72,Abraham Lincoln Quotes,"Labor is prior to, and independent of, capital. Capital is only the fruit of labor, and could never have existed if labor had not first existed. Labor is the superior of capital, and deserves much the higher consideration."
73,Abraham Lincoln Quotes,"Property is the fruit of labor…property is desirable…is a positive good in the world. That some should be rich shows that others may become rich, and hence is just encouragement to industry and enterprise. Let not him who is houseless pull down the house of another; but let him labor diligently and build one for himself, thus by example assuring that his own shall be safe from violence when built."
74,Abraham Lincoln Quotes,I can make a General in five minutes but a good horse is hard to replace.
75,Abraham Lincoln Quotes,"My father taught me to work, but not to love it. I never did like to work, and I don’t deny it. I’d rather read, tell stories, crack jokes, talk, laugh — anything but work."
76,Abraham Lincoln Quotes,"We are not enemies, but friends. We must not be enemies. Though passion may have strained, it must not break our bonds of affection. The mystic chords of memory, stretching from every battlefield and patriot grave to every living heart and hearthstone all over this broad land, will yet swell the chorus of the Union, when again touched, as surely they will be, by the better angels of our nature."
77,Abraham Lincoln Quotes,"If we have no friends, we have no pleasure; and if we have them, we are sure to lose them, and be doubly pained by the loss."
78,Abraham Lincoln Quotes,I distrust the wisdom if not the sincerity of friends who would hold my hands while my enemies stab me.
79,Abraham Lincoln Quotes,"I never encourage deceit, and falsehood, especially if you have got a bad memory, is the worst enemy a fellow can have. The fact is truth is your truest friend, no matter what the circumstances are."
0,Alexander The Great Quotes,I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion.
1,Alexander The Great Quotes,I would rather live a short life of glory than a long one of obscurity.
2,Alexander The Great Quotes,The end and object of conquest is to avoid doing the same thing as the conquered.
3,Alexander The Great Quotes,Bury my body and don’t build any monument. Keep my hands out so the people know the one who won the world had nothing in hand when he died.
4,Alexander The Great Quotes,"Without knowledge, skill cannot be focused. Without skill, strength cannot be brought to bear; and without strength, knowledge may not be applied."
5,Alexander The Great Quotes,"I am indebted to my father for living, but to my teacher for living well."
6,Alexander The Great Quotes,"I had rather excel others in the knowledge of what is excellent, than in the extent of my power and dominion."
7,Alexander The Great Quotes,"For my own part, I would rather excel knowledge of the highest secrets of philosophy than in arms."
8,Alexander The Great Quotes,"When we give someone our time, we actually give a portion of our life that we will never take back."
9,Alexander The Great Quotes,Glory crowns the deeds of those who expose themselves to toils and dangers.
10,Alexander The Great Quotes,"Through every generation of the human race there has been a constant war, a war with fear. Those who have the courage to conquer it are made free and those who are conquered by it are made to suffer until they have the courage to defeat it, or death takes them."
11,Alexander The Great Quotes,"You shall, I question not, find a way to the top if you diligently seek for it; for nature hath placed nothing so high that is out of the reach of industry and valor."
12,Alexander The Great Quotes,Are there no more worlds that I might conquer?
13,Alexander The Great Quotes,I do not steal victory.
14,Alexander The Great Quotes,Let us conduct ourselves so that all men wish to be our friends and all fear to be our enemies.
15,Alexander The Great Quotes,"Toil and risk are the price of glory, but it is a lovely thing to live with courage and die leaving an everlasting fame."
16,Alexander The Great Quotes,"True love never has a happy ending, because there is no ending to true love."
17,Alexander The Great Quotes,Sex and sleep alone make me conscious that I am mortal.
18,Alexander The Great Quotes,"Whatever possession we gain by our sword cannot be sure or lasting, but the love gained by kindness and moderation is certain and durable."
19,Alexander The Great Quotes,There is something noble in hearing myself ill-spoken of when I am doing well.
20,Alexander The Great Quotes,"Consider the world as your country, with laws common to all and where the best will govern irrespective of tribe. I do not distinguish among men, as the narrow-minded do, both among Greeks and Barbarians. I am not interested in the descendance of the citizens or their racial origins. I classify them using one criterion: their virtue."
21,Alexander The Great Quotes,"In the end, when it’s over, all that matters is what you’ve done."
22,Alexander The Great Quotes,A tomb now suffices him for whom the world was not enough.Alexander the Great’s Epitaph
0,Aristotle Quotes,A constitution is the arrangement of magistrates in a state.
1,Aristotle Quotes,A friend to all is a friend to none.
2,Aristotle Quotes,A likely impossibility is always preferable to an unconvincing possibility.
